DepartureCode,ArrivalCode,LowestPriceUSD,AveragePriceUSD,CheapestMonth
IAD,ADL,1940.94,1941,January,
DCA,ADL,1994.6,1995,January,
PHL,ADL,2029.75,2030,January,
KUL,ADL,848.155,848,May,
KUA,ADL,943.914,944,May,
SNA,ADL,9390.38,9390,November,
BUR,ADL,1951.47,1951,November,
JHB,ADL,1091.66,1092,May,
SEA,AGH,To:Argelholm/Helsingborg,1299.5,1315,February,
TIJ,AGH,To:Argelholm/Helsingborg,4153.17,5495,November,
SAN,AGH,To:Argelholm/Helsingborg,1297,1305,February,
PHX,AGH,To:Argelholm/Helsingborg,1330.5,1331,October,
DTW,AGH,To:Argelholm/Helsingborg,1116.6,1117,February,
YQG,AGH,To:Argelholm/Helsingborg,1521.9,1522,February,
CLD,AGH,To:Argelholm/Helsingborg,1573,1573,February,
DCA,AGH,To:Argelholm/Helsingborg,1280.8,1281,November,
IAD,AGH,To:Argelholm/Helsingborg,978.4,978,November,
LKO,AGR,405.032,405,October,
LAX,AGS,319.65,437,February,
MSP,AGS,378.65,379,March,
HNL,AGS,434.75,675,October,
LGA,AGS,138.737,248,November,
DFW,AGS,237.55,320,October,
IAH,AGS,193.05,193,November,
EWR,AGS,141.05,309,November,
TPA,AGS,235.65,236,October,
JFK,AGS,136.052,254,November,
DAY,AGS,263.65,264,October,
HOU,AGS,263.05,263,November,
ONT,AGS,450.2,567,February,
LGB,AGS,452.7,615,February,
SNA,AGS,487.71,691,February,
RST,AGS,465.275,465,March,
CMH,AGS,266.292,266,October,
BUR,AGS,465.7,566,February,
OKC,AGS,192.582,193,October,
DAL,AGS,180.05,180,October,
CVG,AGS,283.56,284,October,
SRQ,AGS,250.769,251,October,
MIA,AGU,641.39,660,December,
DFW,AGU,330.88,516,November,
ATL,AGU,358.88,500,October,
SFO,AGU,243.38,492,November,
LAX,AGU,177.88,454,November,
OAK,AGU,289.67,526,November,
DAL,AGU,344.88,646,November,
ORD,AGU,733.13,733,July,
FLL,AGU,942.105,942,December,
IAH,AGU,432.43,454,December,
PBI,AGU,882.303,930,December,
DEN,AGU,283.38,487,October,
SJC,AGU,271.16,565,November,
IAD,AGU,1324.41,1324,November,
OKC,AGU,400.915,659,November,
ACT,AGU,378.187,610,November,
HOU,AGU,432.43,570,December,
BUR,AGU,417.66,661,November,
PHL,AGU,915.157,915,November,
DCA,AGU,1329.51,1330,November,
JFK,AGU,1430.7,1431,November,
LGA,AGU,1149.84,1150,November,
LGB,AGU,467.67,743,November,
EWR,AGU,1149.84,1150,November,
ONT,AGU,357.37,596,November,
SNA,AGU,349.87,565,November,
JFK,AJU,1384.43,1414,January,
EZE,AJU,828.49,828,January,
MIA,AJU,1263.43,1263,November,
YYZ,AJU,1614.58,1615,October,
DFW,AJU,1590.13,1590,November,
SFO,AKL,861.2,1329,February,
LAX,AKL,1073.58,1324,May,
OAK,AKL,920.63,1371,February,
IAD,AKL,1545.33,2338,March,
DCA,AKL,1743.07,2726,November,
PDX,AKL,883.91,1260,October,
YVR,AKL,1318.29,1538,October,
JFK,AKL,1505.99,1934,October,
LHR,AKL,848.77,1569,November,
EWR,AKL,1666.34,2039,November,
SJC,AKL,856.14,1490,February,
IAH,AKL,1636.82,1679,November,
YYZ,AKL,1612.32,3239,November,
BOS,AKL,1794.86,2075,December,
YEG,AKL,1534,1635,February,
BWI,AKL,1834.1,2347,November,
LGA,AKL,1802.9,3661,November,
LGW,AKL,906.826,2018,November,
SAT,AKL,1755.11,1925,October,
PHX,AKL,1209.4,1415,November,
SNA,AKL,2436.5,2716,October,
PHL,AKL,2416.52,2927,March,
EDI,AKL,1440.83,1441,December,
HOU,AKL,1766.07,2362,November,
YUL,AKL,2945.43,2945,December,
GLA,AKL,1134.95,1135,December,
SYD,AKL,315,601,September,
LIS,AKL,2226.7,2227,December,
BOM,AKL,1006.26,1361,January,
DAL,AKL,1330.99,1891,November,
MCO,AKL,1833.6,1834,February,
SYR,AKL,1957.79,1958,November,
MCT,AKL,1163,1163,July,
ATL,AKL,1812.86,1813,November,
DFW,AKL,1089.21,1225,January,
LGB,AKL,2118.46,2977,November,
LCY,AKL,1457.69,2313,November,
SEA,AKL,989.396,1270,October,
IDA,AKL,3139,3139,December,
EUG,AKL,1416.3,2095,October,
BUR,AKL,2486.5,3889,November,
PER,AKL,620.74,621,November,
ONT,AKL,2434,2565,October,
YYJ,AKL,1885.51,2190,February,
MEL,AKL,360.14,360,November,
MHT,AKL,3272.06,3272,December,
JAC,AKL,2918.57,2919,December,
AUS,AKL,1517.48,1737,October,
OPO,AKL,2255.77,2256,December,
YYC,AKL,1566.66,1876,February,
BUF,AKL,3633.34,7256,January,
TUS,AKL,2045.4,2146,November,
BLR,AKL,1166.2,1166,December,
POA,AKL,1967.94,1968,February,
BPT,AKL,1829.62,2232,November,
YCD,AKL,1746.72,2237,February,
AVV,AKL,435.32,435,November,
